gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.280802,0.857393,0.970426,5.91387,1.02368
0.296455,0.877799,0.898933,5.93183,1.04209
0.292257,0.884662,0.937929,5.9116,1.02168
0.296009,0.899195,0.884199,5.92253,1.0298
0.290527,0.892112,0.928124,5.92753,1.04143
0.294759,0.896555,0.839844,5.90439,1.03747
0.289918,0.872834,0.837881,5.93206,1.03953
0.30084,0.897005,0.805458,5.92215,1.04323
0.301504,0.888346,0.833266,5.91974,1.03377
0.288443,0.882896,0.91765,5.92401,1.0299
0.299573,0.883787,0.905821,5.90985,1.04613
0.295623,0.879648,0.92379,5.92402,1.03056
0.298351,0.860656,0.77746,5.90903,1.03718
0.282515,0.86998,0.84262,5.91661,1.03081
0.302677,0.867051,0.774371,5.92109,1.03126
0.298097,0.886426,0.848164,5.90789,1.04469
0.295525,0.874098,0.962024,5.93282,1.03697
0.292648,0.870505,0.834007,5.91527,1.03844
0.290561,0.866138,0.769393,5.91074,1.038
0.278885,0.87503,0.752401,5.89489,1.03727
0.304124,0.884863,0.889714,5.92224,1.02811
0.293988,0.88523,0.933231,5.92304,1.02526
0.28868,0.876682,0.861305,5.92155,1.03178
0.285619,0.897596,0.854882,5.91436,1.02913
0.305583,0.863692,0.877232,5.91159,1.03907
0.29663,0.897169,0.90807,5.91963,1.03026
0.29342,0.900142,0.942567,5.91442,1.03374
0.293769,0.885891,0.765082,5.91114,1.03874
0.293048,0.876925,0.843463,5.91678,1.03292
0.302738,0.876739,0.897752,5.89324,1.03144
0.296635,0.87452,0.906601,5.91169,1.02415
0.301311,0.88903,0.864443,5.90821,1.02266
0.307064,0.861453,0.813758,5.92316,1.02729
0.291516,0.870793,0.863018,5.91223,1.02942
0.293648,0.870934,0.896684,5.91463,1.03412
0.299888,0.881258,0.744054,5.92601,1.0317
0.301157,0.876953,0.806451,5.91885,1.02522
0.303137,0.90259,0.800795,5.91531,1.03216
0.279282,0.890556,0.770483,5.91777,1.03148
0.29468,0.874612,0.959021,5.93308,1.03509
0.298813,0.856257,0.924567,5.9059,1.03796
